label,file_size,number_of_sections,file_characteristics,imagebase,dll_characteristics,size_of_image,size_of_headers,size_of_code,Check_for_Debugger,contain_bitcoin_address,is_packed,ransomware_command_indicator,suspicious_technique_indicator,contain_monero_address,contain_onion_address,using_encryption_library,ransomware_string_indicator,suspicious_entropy_and_indicator,yara_match_count,unique_section_names,max_entropy,min_entropy,mean_entropy,max_section_size,min_section_size,mean_section_size,is_gui,imported_dll_count,imported_function_count,exported_function_count
ransomware,2675520,4,259,4194304,0,147456,512,101888,1,1,0,0,0,0,0,0,0,1,4,1,6.6740241210126,4.450978418041827,5.573934204274008,101888,1536,30336.0,1,9,209,0
ransomware,9768448,11,35,140696437850112,33120,9768960,1024,227840,1,1,1,0,0,0,0,1,1,1,6,7,7.919016350098899,0.28456397652773324,4.375956977449324,5943296,3584,887668.3636363636,0,13,193,0
ransomware,2069504,6,546,4194304,33120,2461696,1536,996352,1,0,0,0,0,1,1,1,1,1,9,2,6.181783056603975,0.020393135236084953,4.270845211919929,996352,512,344661.3333333333,1,1,39,0
ransomware,193536,5,290,4194304,34112,229376,1024,103424,1,0,1,0,0,0,0,0,0,0,4,2,7.997855229431274,0.09800417566270775,3.56382899408757,102912,512,38502.4,1,1,1,0
ransomware,19968,5,34,5368709120,33120,36864,1024,9216,1,0,0,0,0,0,0,1,0,0,2,2,6.0075796846567275,0.7289903273339433,3.594130819596996,9216,512,3788.8,0,16,99,0
ransomware,28160,3,258,4194304,34112,57344,512,25600,0,0,0,1,1,0,0,1,0,0,4,0,5.379221703189227,0.06116285224115448,3.048247853728837,25600,512,9216.0,1,1,1,0
ransomware,1305088,3,41358,4194304,1,2588672,4096,1302528,0,0,1,0,0,0,0,0,0,1,6,2,7.906606574113456,0.0,3.8105519575538023,1300992,0,434688.0,1,12,16,0
ransomware,4941824,13,546,4194304,33120,5361664,1536,1665536,1,0,0,0,0,1,0,1,1,1,8,9,7.9969792879911115,0.7780869976157252,5.958583231773863,1665536,512,380022.1538461539,0,1,40,0
ransomware,5493760,5,34,5368709120,33120,5509120,1024,3661824,1,1,0,0,1,1,0,1,1,0,10,2,6.4044649842942265,2.3778467372000702,5.17790648175233,3661824,12800,1098547.2,0,18,186,0
ransomware,545792,3,258,4194304,34112,573440,512,543744,0,0,0,0,0,0,0,1,0,1,2,0,7.968502360773797,0.10191042566270775,3.666737918167357,543744,512,181760.0,1,1,1,0
ransomware,409600,4,271,4194304,0,1273856,4096,131072,1,0,0,0,0,0,0,1,0,1,3,1,6.258710746355528,4.208143351270299,5.402493267594827,258048,4096,101376.0,0,4,91,0
ransomware,50688,3,34,5368709120,33056,1208320,512,53248,0,0,0,0,0,0,0,0,0,1,1,3,7.878790817037183,0.0,3.0835681353729743,49664,0,16725.333333333332,1,1,4,0
