label,number_of_sections,entry_point,dll_characteristics,Check_for_Debugger,manipulate_user_auth,can_download_execute_components,C2_indicator,ConventionEngine_indicator,contain_crypto_address,suspicious_imphash,is_packed,ransomware_command_indicator,suspicious_technique_indicator,can_access_network_share,contain_tor_link,ransomware_string_indicator,use_security_base_api,manipulates_system_shell,cmd_powershell_usage_indicator,suspicious_entropy_and_indicator,use_win_base_api,files_directories_manipulation,retrieves_account_information,using_encryption_library,use_http_services,supports_windows_networking,can_create_process_and_threads,can_manipulate_windows_registry,can_send_receive_data,can_manipulate_windows_services,performs_gui_actions,yaraify_indicator,yara_match_count,unique_section_names,max_entropy,min_entropy,mean_entropy,SectionsMinRawsize,SectionMaxRawsize,SectionsMeanRawsize,SectionsMinVirtualsize,SectionMaxVirtualsize,SectionsMeanVirtualsize,chi2_max,chi2_min,chi2_mean,chi2_global,imported_dll_count,imported_function_count,exported_function_count
ransomware,7,17653936,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,6,7.99168669953548,0.2607712760482558,4.228164246355733,512,4300800,1166336.0,4096,9265152,3687248.0,984466.5,3105.6857749469223,320649.2395078222,559506.6029835778,3,4,3
ransomware,3,116166,34112,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,6.1082474200417085,0.1019104256627077,3.634861147366947,512,108032,37376.0,12,107980,37085.333333333336,1889038.9241706184,90959.28571428578,702671.0699616348,2050484.390909092,1,1,0
ransomware,11,251344,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,14,5,7.827818566900217,0.0,4.021892799195896,0,245760,31790.545454545456,20,245292,33873.27272727273,2022699.8062499969,0.0,260620.5988724316,2273485.176642336,10,142,2
ransomware,4,7428,33088,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,11,1,6.834027440392049,4.937712212137237,6.154644087374933,4096,95744,43008.0,3692,98224,43330.25,1150345.97826087,33245.5,462876.8146960928,1185992.0133074464,1,72,0
ransomware,7,577864,33120,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,13,3,6.457580825369698,3.2881148206203528,5.1337590812554765,512,832000,153453.7142857143,348,831614,154366.85714285713,7472091.580060428,9292.0,2008777.4931017472,9207214.857619043,9,154,0
ransomware,5,32057,320,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,15,1,7.998287966904088,4.771681261342069,6.347123654225486,3584,247808,71065.6,3074,247608,74607.4,745345.3658536589,589.5516528925622,274309.08058581257,290278.0084336014,13,165,0
ransomware,4,12944,34112,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,13,1,6.178810203897283,0.0,4.139186594462951,0,23040,10752.0,8,22814,10521.5,857637.2222222242,0.0,256844.56250000055,717306.5697674437,12,115,0
ransomware,5,43968,34112,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,10,1,5.628334268014781,0.1144633812591388,4.008163601673056,512,74752,15974.4,8,74281,15669.4,1436427.493150686,18953.0,337966.1119634704,1662352.259493669,7,80,0
ransomware,3,43472,34048,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,7.982062728148452,5.965306229244432,7.244136523592725,10240,43008,31232.0,9782,43733,31162.666666666668,313504.36708860745,1631.5476190476218,108653.63823588502,185129.04864864872,1,9,0
ransomware,5,43968,34112,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,11,1,5.820734412159321,0.1144633812591388,4.0473214967103655,512,74752,15974.4,8,74281,15669.4,1185212.0136986307,18952.0,287722.8160730594,1396590.5569620242,7,80,0
ransomware,5,41653,33024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7.900497285312274,2.582588263814145,5.804289718799162,512,36864,11059.2,344,36727,11327.8,365304.0138888887,1032.625,99256.72777777772,430294.4909090903,1,1,0
ransomware,4,50387,33088,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,15,1,6.717652991509657,2.4755371621255278,5.2768533660594175,5632,93696,36224.0,5392,93685,38890.25,1906295.520000001,28170.81818181826,901768.4700688496,1876585.14385965,8,122,0
ransomware,7,580920,33120,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,14,3,6.454310449345293,3.315376137229696,5.128805596764615,512,837632,154404.57142857142,348,837198,155309.14285714287,7471599.728915678,9292.0,2021248.5342359543,9282483.796971144,9,155,0
ransomware,5,49568,34368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.907526306723195,2.204724595510392,5.467150507763063,1024,59904,13926.4,808,59813,14249.4,378342.2222222224,980.454545454542,123473.83535353556,477947.4275362315,1,1,0
ransomware,3,402822,34144,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,6.739074299257735,0.1019104256627077,3.4250872660147214,512,394752,141312.0,12,394644,141048.0,4972820.872892355,128015.0,2637615.035011737,12179808.332134278,1,1,0
ransomware,4,5168,32768,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,9,1,7.545826551835268,4.876842726517754,6.282503892680754,3584,139264,49152.0,3572,139276,49051.5,652329.989690722,27222.000000000004,269064.95698150404,823756.8886010367,7,143,0
